event_id,event_name,start_date_time,end_date_time,event_agency,event_type,event_borough,event_location,street_closure_type,community_board,police_precinct,event_street_side,event_date
317757,Miscellaneous,2017-11-11 00:00:00,2017-11-11 23:59:00,Parks Department,Special Event,Manhattan,"St. Nicholas Park: West 135th Street Lawn ,St. Nicholas Park: West 135th Street Plaza ,St. Nicholas Park: West 135th Street Sidewalk ",N/A,"9, ","26, ",,2017-11-11
375193,Build a Wigwam,2017-11-14 09:00:00,2017-11-14 14:00:00,Parks Department,Special Event,Brooklyn,Dimattina Playground: Dimattina Ballfield ,N/A,"6, ","76, ",,2017-11-14
347757,restoration project,2017-11-27 00:00:00,2017-11-27 23:30:00,Parks Department,Special Event,Manhattan,Morningside Park: West 114th St Picnic Area ,N/A,"9, ","26, ",,2017-11-27
351075,Celebration,2017-11-12 12:00:00,2017-11-12 14:00:00,Parks Department,Special Event,Manhattan,"Central Park: Cherry Hill ,Central Park: Wagner Cove ",N/A,"64, ","22, ",,2017-11-12
366760,Field Reconstruction,2017-12-05 06:00:00,2017-12-05 23:00:00,Parks Department,Construction,Manhattan,"Randall's Island Park: Wards Meadow Fields-Soccer-70 ,Randall's Island Park: Wards Meadow Fields-Soccer-74 ,Randall's Island Park: Wards Meadow Fields-Soccer-75 ",N/A,"11, ","25, ",,2017-12-05
330050,Mt. Eden Farmer's Market,2017-11-09 08:00:00,2017-11-09 16:00:00,Parks Department,Special Event,Bronx,Mount Eden Malls: Mount Eden Malls ,N/A,"4, ","44, ",,2017-11-09
380721,Honor of St. Martin of Tours,2017-11-11 18:00:00,2017-11-11 18:30:00,Police Department,Parade,Brooklyn," HANCOCK STREET between WILSON AVENUE and KNICKERBOCKER AVENUE,  HANCOCK STREET between KNICKERBOCKER AVENUE and WILSON AVENUE,  HANCOCK STREET between WILSON AVENUE and KNICKERBOCKER AVENUE, 1288 HANCOCK STREET, WILSON AVENUE between HANCOCK STREET and WEIRFIELD STREET,  WEIRFIELD STREET between WILSON AVENUE and KNICKERBOCKER AVENUE",Full Street Closure ,"4, ","83, ",West,2017-11-11
380259,Closed for renervations,2017-12-03 08:00:00,2017-12-03 20:00:00,Parks Department,Construction,Manhattan,"Col. Young Playground: Baseball-04 ,Col. Young Playground: Softball-01 ,Col. Young Playground: Softball-02 ,Col. Young Playground: Softball-03 ,Holcombe Rucker Park: Softball-01 ,Thomas Jefferson Park: Soccer-01 ",N/A,"10, 11, ","23, 32, ",,2017-12-03
381186,"E. 102nd Landscape Winter Closure until April 7, 2018",2018-02-12 00:00:00,2018-02-12 23:59:00,Parks Department,Construction,Manhattan,Central Park: East 102nd St Landscape A ,N/A,"64, ","22, ",,2018-02-12
369856,Lawn Maintenance,2018-02-23 00:00:00,2018-02-23 23:58:00,Parks Department,Construction,Manhattan,Madison Square Park: Magnolia Lawn ,N/A,"5, ","13, ",,2018-02-23
376700,OCTOBER SYNTHETIC TURF CARE,2017-12-02 06:00:00,2017-12-02 15:00:00,Parks Department,Construction,Queens,"Grover Cleveland Playground: Soccer-01 ,Grover Cleveland Playground: Soccer-02 ,Murray Playground: Soccer-01 ,Murray Playground: Soccer-02 ,Big Bush Park: Soccer-01 ,Hinton Park: Baseball-01 ,Hinton Park: Softball-02 ,Rockaway Beach Boardwalk: Football-01 ,Flushing Meadows Corona Park: Soccer-04 ,Flushing Meadows Corona Park: Soccer-05 ,Flushing Meadows Corona Park: Soccer-06 ,Kissena Corridor West: Rachel Carson Plgd-Multi Purpose Play Area-01 ,Flushing Meadows Corona Park: Soccer-01 ,Flushing ",N/A,"01, 02, 03, 05, 07, 10, 12, 13, 14, 2, 81, 82, ","101, 102, 103, 104, 105, 106, 108, 109, 110, 114, 115, ",,2017-12-02
379756,Charcot-Marie-Tooth,2017-11-19 10:00:00,2017-11-19 12:00:00,Parks Department,Special Event,Staten Island,"Clove Lakes Park: Trails Clove Lakes ,Clove Lakes Park: Knoll 01 (Comm) - Clove Picnic Victory Blvd Side ",N/A,"1, ","120, ",,2017-11-19
